ln(Coverage_Amount),Term_Length,Age,Is_Male,Is_Smoker,Is_UK,Premium (£),ln(Premium)
11.512925464970229,10,20,1,1,0,16.17,2.783157673589016
11.512925464970229,10,20,1,1,0,16.65,2.8124102164264526
11.512925464970229,10,20,1,1,0,17.56,2.8656235882069705
11.512925464970229,10,20,1,1,0,19.04,2.9465420293632194
11.512925464970229,10,20,1,1,0,20.79,3.0344721018699214
11.512925464970229,10,20,1,0,0,6.86,1.925707441737794
11.512925464970229,10,20,1,0,0,7.42,2.004179057179289
11.512925464970229,10,20,1,0,0,10.51,2.3523271848888596
11.512925464970229,10,20,1,0,0,10.9,2.388762789235098
11.512925464970229,10,20,1,0,0,12.82,2.551006451492524
11.512925464970229,10,20,0,1,0,10.05,2.307572634505085
11.512925464970229,10,20,0,1,0,10.84,2.3832429960115
11.512925464970229,10,20,0,1,0,12.87,2.554899021608035
11.512925464970229,10,20,0,1,0,15.62,2.7485521444115397
11.512925464970229,10,20,0,1,0,16.6,2.8094026953624978
11.512925464970229,10,20,0,0,0,5.8,1.7578579175523736
11.512925464970229,10,20,0,0,0,6.85,1.9242486522741338
11.512925464970229,10,20,0,0,0,8.56,2.1471001901536506
11.512925464970229,10,20,0,0,0,8.68,2.1610215286722587
11.512925464970229,10,20,0,0,0,11.22,2.4176979000945504
11.512925464970229,10,30,1,1,0,15.48,2.739548868161581
11.512925464970229,10,30,1,1,0,19.53,2.9719517448885875
11.512925464970229,10,30,1,1,0,21.29,3.058237478905388
11.512925464970229,10,30,1,1,0,22.31,3.105035008444441
11.512925464970229,10,30,1,1,0,23.77,3.1684242813721024
11.512925464970229,10,30,1,0,0,6.87,1.927164106234258
11.512925464970229,10,30,1,0,0,7.01,1.9473377010464987
11.512925464970229,10,30,1,0,0,11.04,2.401525040848949
11.512925464970229,10,30,1,0,0,14.21,2.6539459421090092
11.512925464970229,10,30,1,0,0,16.39,2.7966713927557385
11.512925464970229,10,30,0,1,0,12.68,2.5400259490090797
11.512925464970229,10,30,0,1,0,17.71,2.8741294517947424
11.512925464970229,10,30,0,1,0,18.93,2.9407479652212314
11.512925464970229,10,30,0,1,0,19.59,2.9750192319564492
11.512925464970229,10,30,0,1,0,20.63,3.0267463270831603
11.512925464970229,10,30,0,0,0,5.82,1.7613002617433464
11.512925464970229,10,30,0,0,0,6.74,1.9080599249242156
11.512925464970229,10,30,0,0,0,9.67,2.269028309465203
11.512925464970229,10,30,0,0,0,12.09,2.492378664626701
11.512925464970229,10,30,0,0,0,13.51,2.6034301519721073
11.512925464970229,10,40,1,1,0,20.36,3.013572191682322
11.512925464970229,10,40,1,1,0,28.16,3.3379025312898416
11.512925464970229,10,40,1,1,0,40.16,3.6928714753834737
11.512925464970229,10,40,1,1,0,40.73,3.706964921660321
11.512925464970229,10,40,1,1,0,42.7,3.754198920234579
11.512925464970229,10,40,1,0,0,7.86,2.061786606441115
11.512925464970229,10,40,1,0,0,8.79,2.1736147116970854
11.512925464970229,10,40,1,0,0,15.48,2.739548868161581
11.512925464970229,10,40,1,0,0,21.25,3.056356895370426
11.512925464970229,10,40,1,0,0,22.19,3.0996417369445024
11.512925464970229,10,40,0,1,0,17.48,2.8610573702273894
11.512925464970229,10,40,0,1,0,25.49,3.238286218388024
11.512925464970229,10,40,0,1,0,36.37,3.5937442589988975
11.512925464970229,10,40,0,1,0,36.39,3.5942940116240685
11.512925464970229,10,40,0,1,0,37.67,3.62886402170395
11.512925464970229,10,40,0,0,0,7.16,1.9685099809725544
11.512925464970229,10,40,0,0,0,8.15,2.0980179272527715
11.512925464970229,10,40,0,0,0,12.86,2.554121718809473
11.512925464970229,10,40,0,0,0,16.6,2.8094026953624978
11.512925464970229,10,40,0,0,0,19.06,2.947591898226056
11.512925464970229,10,45,1,1,0,30.32,3.411807560774171
11.512925464970229,10,45,1,1,0,40.22,3.6943643843445058
11.512925464970229,10,45,1,1,0,58.04,4.061132428015987
11.512925464970229,10,45,1,1,0,61.16,4.113493381060861
11.512925464970229,10,45,1,1,0,63.07,4.14424522067556
11.512925464970229,10,45,1,0,0,10.02,2.3045830956567186
11.512925464970229,10,45,1,0,0,11.06,2.403334996094189
11.512925464970229,10,45,1,0,0,20.44,3.017493765335504
11.512925464970229,10,45,1,0,0,29.18,3.3734835430946397
11.512925464970229,10,45,1,0,0,29.42,3.3816747151732915
11.512925464970229,10,45,0,1,0,24.58,3.201933104137889
11.512925464970229,10,45,0,1,0,34.4,3.5380565643793527
11.512925464970229,10,45,0,1,0,52.43,3.9594789465844413
11.512925464970229,10,45,0,1,0,54.26,3.9937873072307855
11.512925464970229,10,45,0,1,0,56.25,4.029806041084529
11.512925464970229,10,45,0,0,0,8.98,2.194999882314108
11.512925464970229,10,45,0,0,0,9.88,2.2905125117597764
11.512925464970229,10,45,0,0,0,17.24,2.847232265235547
11.512925464970229,10,45,0,0,0,23.77,3.1684242813721024
11.512925464970229,10,45,0,0,0,25.46,3.2371085931292605
11.512925464970229,10,50,1,1,0,38.56,3.652215469742345
11.512925464970229,10,50,1,1,0,59.28,4.082271980987832
11.512925464970229,10,50,1,1,0,86.51,4.460260014192283
11.512925464970229,10,50,1,1,0,89.12,4.489983776178974
11.512925464970229,10,50,1,1,0,96.89,4.573576314396913
11.512925464970229,10,50,1,0,0,13.13,2.574899688314705
11.512925464970229,10,50,1,0,0,14.51,2.6748380668960965
11.512925464970229,10,50,1,0,0,28.15,3.3375473545856993
11.512925464970229,10,50,1,0,0,41.2,3.7184382563554808
11.512925464970229,10,50,1,0,0,43.5,3.7727609380946383
11.512925464970229,10,50,0,1,0,34.18,3.5316406776874447
11.512925464970229,10,50,0,1,0,49.02,3.8922283780999667
11.512925464970229,10,50,0,1,0,75.21,4.320284200838311
11.512925464970229,10,50,0,1,0,75.48,4.32386772050035
11.512925464970229,10,50,0,1,0,77.56,4.351051830374451
11.512925464970229,10,50,0,0,0,11.45,2.4379897300002487
11.512925464970229,10,50,0,0,0,12.83,2.551786178627545
11.512925464970229,10,50,0,0,0,21.09,3.0487989944906833
11.512925464970229,10,50,0,0,0,32.34,3.4763048541489607
11.512925464970229,10,50,0,0,0,34.01,3.526654599019104
11.512925464970229,10,60,1,1,0,94.63,4.549974550520141
11.512925464970229,10,60,1,1,0,139.0,4.9344739331306915
11.512925464970229,10,60,1,1,0,175.71,5.1688349087698
11.512925464970229,10,60,1,1,0,197.44,5.285434740717023
11.512925464970229,10,60,1,1,0,216.3,5.376666332959013
11.512925464970229,10,60,1,0,0,32.6,3.484312288372662
11.512925464970229,10,60,1,0,0,34.56,3.542696943935855
11.512925464970229,10,60,1,0,0,68.49,4.226687749209813
11.512925464970229,10,60,1,0,0,91.6,4.517431271680085
11.512925464970229,10,60,1,0,0,93.24,4.535176814167556
11.512925464970229,10,60,0,1,0,66.4,4.1956970564823886
11.512925464970229,10,60,0,1,0,102.82,4.632979886627359
11.512925464970229,10,60,0,1,0,156.66,5.054077851939092
11.512925464970229,10,60,0,1,0,165.71,5.110239272641702
11.512925464970229,10,60,0,1,0,169.62,5.133560640933554
11.512925464970229,10,60,0,0,0,24.1,3.1822118404966093
11.512925464970229,10,60,0,0,0,26.94,3.293612170982218
11.512925464970229,10,60,0,0,0,48.32,3.8778455536265595
11.512925464970229,10,60,0,0,0,65.81,4.186771802468027
11.512925464970229,10,60,0,0,0,67.38,4.2103482379784065
11.512925464970229,10,65,1,1,0,213.37,5.363027747916792
11.512925464970229,10,65,1,1,0,285.65,5.654767285170472
11.512925464970229,10,65,1,1,0,326.87,5.789562538335084
11.512925464970229,10,65,1,1,0,333.5,5.809642865355678
11.512925464970229,10,65,1,0,0,58.58,4.070393341399587
11.512925464970229,10,65,1,0,0,112.24,4.720639435794205
11.512925464970229,10,65,1,0,0,135.02,4.905422915613724
11.512925464970229,10,65,1,0,0,153.34,5.032657678130748
11.512925464970229,10,65,0,1,0,184.95,5.220085518278463
11.512925464970229,10,65,0,1,0,233.8,5.454466049037968
11.512925464970229,10,65,0,1,0,248.43,5.515161115713719
11.512925464970229,10,65,0,1,0,268.16,5.591583817293718
11.512925464970229,10,65,0,0,0,44.84,3.8031005982039594
11.512925464970229,10,65,0,0,0,76.85,4.341855469984605
11.512925464970229,10,65,0,0,0,103.87,4.64314011723972
11.512925464970229,10,65,0,0,0,107.85,4.680741372835166
11.512925464970229,10,70,1,1,0,379.53,5.9389336450946875
11.512925464970229,10,70,1,1,0,522.64,6.258892890532495
11.512925464970229,10,70,1,1,0,547.01,6.304467083790525
11.512925464970229,10,70,1,0,0,175.44,5.1672971041096325
11.512925464970229,10,70,1,0,0,223.22,5.408157832227569
11.512925464970229,10,70,1,0,0,260.85,5.563945529468402
11.512925464970229,10,70,0,1,0,348.59,5.8538964465012
11.512925464970229,10,70,0,1,0,360.14,5.886492844741359
11.512925464970229,10,70,0,1,0,436.97,6.079864542853495
11.512925464970229,10,70,0,0,0,129.08,4.860432367183761
11.512925464970229,10,70,0,0,0,180.98,5.198386527922987
11.512925464970229,10,70,0,0,0,216.83,5.379113636376126
11.512925464970229,15,20,1,1,0,16.62,2.810606789427302
11.512925464970229,15,20,1,1,0,19.56,2.9734866646066713
11.512925464970229,15,20,1,1,0,21.15,3.0516399054922867
11.512925464970229,15,20,1,1,0,22.47,3.112181086197238
11.512925464970229,15,20,1,1,0,22.78,3.125882958019036
11.512925464970229,15,20,1,0,0,7.6,2.028148247292285
11.512925464970229,15,20,1,0,0,7.61,2.0294631718735947
11.512925464970229,15,20,1,0,0,12.34,2.5128460184772416
11.512925464970229,15,20,1,0,0,13.95,2.6354795082673745
11.512925464970229,15,20,1,0,0,15.14,2.717340248009303
