Coverage Amount,Term Length,Age,Gender,Is_Smoker,Premium
100000,10,20,Male,Smoker,£5.00
100000,10,20,Male,Smoker,£5.01
100000,10,20,Male,Smoker,£5.01
100000,10,20,Male,Smoker,£5.18
100000,10,20,Male,Smoker,£5.48
100000,10,20,Male,Smoker,£6.00
100000,10,20,Male,Smoker,£6.00
100000,10,20,Male,Smoker,£7.04
100000,10,20,Male,Smoker,£7.06
100000,10,20,Male,Smoker,£7.68
100000,10,20,Male,Smoker,£11.37
100000,15,20,Male,Smoker,£5.00
100000,15,20,Male,Smoker,£5.01
100000,15,20,Male,Smoker,£5.01
100000,15,20,Male,Smoker,£5.18
100000,15,20,Male,Smoker,£5.46
100000,15,20,Male,Smoker,£6.00
100000,15,20,Male,Smoker,£6.00
100000,15,20,Male,Smoker,£6.52
100000,15,20,Male,Smoker,£6.91
100000,15,20,Male,Smoker,£7.90
100000,15,20,Male,Smoker,£10.83
100000,20,20,Male,Smoker,£5.00
100000,20,20,Male,Smoker,£5.01
100000,20,20,Male,Smoker,£5.01
100000,20,20,Male,Smoker,£5.24
100000,20,20,Male,Smoker,£5.58
100000,20,20,Male,Smoker,£6.00
100000,20,20,Male,Smoker,£6.00
100000,20,20,Male,Smoker,£6.32
100000,20,20,Male,Smoker,£6.80
100000,20,20,Male,Smoker,£7.94
100000,20,20,Male,Smoker,£10.63
100000,25,20,Male,Smoker,£5.00
100000,25,20,Male,Smoker,£5.01
100000,25,20,Male,Smoker,£5.01
100000,25,20,Male,Smoker,£5.26
100000,25,20,Male,Smoker,£5.70
100000,25,20,Male,Smoker,£6.00
100000,25,20,Male,Smoker,£6.00
100000,25,20,Male,Smoker,£6.81
100000,25,20,Male,Smoker,£6.91
100000,25,20,Male,Smoker,£8.09
100000,25,20,Male,Smoker,£11.12
100000,30,20,Male,Smoker,£5.01
100000,30,20,Male,Smoker,£5.01
100000,30,20,Male,Smoker,£5.18
100000,30,20,Male,Smoker,£5.49
100000,30,20,Male,Smoker,£6.00
100000,30,20,Male,Smoker,£6.00
100000,30,20,Male,Smoker,£6.09
100000,30,20,Male,Smoker,£7.16
100000,30,20,Male,Smoker,£7.30
100000,30,20,Male,Smoker,£8.56
100000,30,20,Male,Smoker,£11.61
250000,10,20,Male,Smoker,£6.30
250000,10,20,Male,Smoker,£6.90
250000,10,20,Male,Smoker,£7.02
250000,10,20,Male,Smoker,£7.39
250000,10,20,Male,Smoker,£7.43
250000,10,20,Male,Smoker,£8.22
250000,10,20,Male,Smoker,£8.22
250000,10,20,Male,Smoker,£9.77
250000,10,20,Male,Smoker,£10.73
250000,10,20,Male,Smoker,£11.21
250000,10,20,Male,Smoker,£15.52
250000,15,20,Male,Smoker,£6.21
250000,15,20,Male,Smoker,£6.90
250000,15,20,Male,Smoker,£7.30
250000,15,20,Male,Smoker,£7.36
250000,15,20,Male,Smoker,£7.43
250000,15,20,Male,Smoker,£8.48
250000,15,20,Male,Smoker,£8.48
250000,15,20,Male,Smoker,£9.57
250000,15,20,Male,Smoker,£10.40
250000,15,20,Male,Smoker,£11.07
250000,15,20,Male,Smoker,£14.71
250000,20,20,Male,Smoker,£6.09
250000,20,20,Male,Smoker,£7.31
250000,20,20,Male,Smoker,£7.33
250000,20,20,Male,Smoker,£7.37
250000,20,20,Male,Smoker,£7.59
250000,20,20,Male,Smoker,£8.48
250000,20,20,Male,Smoker,£8.48
250000,20,20,Male,Smoker,£9.36
250000,20,20,Male,Smoker,£10.36
250000,20,20,Male,Smoker,£11.02
250000,20,20,Male,Smoker,£14.67
250000,25,20,Male,Smoker,£6.64
250000,25,20,Male,Smoker,£7.76
250000,25,20,Male,Smoker,£7.98
250000,25,20,Male,Smoker,£7.99
250000,25,20,Male,Smoker,£8.34
250000,25,20,Male,Smoker,£9.04
250000,25,20,Male,Smoker,£9.04
250000,25,20,Male,Smoker,£9.91
250000,25,20,Male,Smoker,£11.63
250000,25,20,Male,Smoker,£11.70
250000,25,20,Male,Smoker,£15.94
250000,30,20,Male,Smoker,£7.15
250000,30,20,Male,Smoker,£8.44
250000,30,20,Male,Smoker,£8.90
250000,30,20,Male,Smoker,£9.14
250000,30,20,Male,Smoker,£9.28
250000,30,20,Male,Smoker,£10.06
250000,30,20,Male,Smoker,£10.06
250000,30,20,Male,Smoker,£10.42
250000,30,20,Male,Smoker,£12.61
250000,30,20,Male,Smoker,£12.79
250000,30,20,Male,Smoker,£17.10
350000,10,20,Male,Smoker,£8.19
350000,10,20,Male,Smoker,£8.43
350000,10,20,Male,Smoker,£9.06
350000,10,20,Male,Smoker,£9.13
350000,10,20,Male,Smoker,£9.14
350000,10,20,Male,Smoker,£9.53
350000,10,20,Male,Smoker,£9.53
350000,10,20,Male,Smoker,£11.66
350000,10,20,Male,Smoker,£12.84
350000,10,20,Male,Smoker,£13.64
350000,10,20,Male,Smoker,£17.95
350000,15,20,Male,Smoker,£8.28
350000,15,20,Male,Smoker,£8.49
350000,15,20,Male,Smoker,£9.00
350000,15,20,Male,Smoker,£9.14
350000,15,20,Male,Smoker,£9.80
350000,15,20,Male,Smoker,£9.80
350000,15,20,Male,Smoker,£9.81
350000,15,20,Male,Smoker,£11.64
350000,15,20,Male,Smoker,£12.69
350000,15,20,Male,Smoker,£13.52
350000,15,20,Male,Smoker,£17.00
350000,20,20,Male,Smoker,£7.92
350000,20,20,Male,Smoker,£8.72
350000,20,20,Male,Smoker,£9.22
350000,20,20,Male,Smoker,£9.48
350000,20,20,Male,Smoker,£9.50
350000,20,20,Male,Smoker,£10.14
350000,20,20,Male,Smoker,£10.14
350000,20,20,Male,Smoker,£11.19
350000,20,20,Male,Smoker,£12.70
350000,20,20,Male,Smoker,£13.21
350000,20,20,Male,Smoker,£17.01
350000,25,20,Male,Smoker,£8.69
350000,25,20,Male,Smoker,£9.70
350000,25,20,Male,Smoker,£9.93
