Coverage Amount,Term Length,Age,Gender,Is_Smoker,Premium
100000,10 Year Term,20,Male,Current user,$21.67
100000,10 Year Term,20,Male,Current user,$22.31
100000,10 Year Term,20,Male,Current user,$23.54
100000,10 Year Term,20,Male,Current user,$25.52
100000,10 Year Term,20,Male,Current user,$27.86
100000,10 Year Term,20,Male,Never Used,$9.20
100000,10 Year Term,20,Male,Never Used,$9.94
100000,10 Year Term,20,Male,Never Used,$14.09
100000,10 Year Term,20,Male,Never Used,$14.61
100000,10 Year Term,20,Male,Never Used,$17.18
100000,10 Year Term,20,Female,Current user,$13.47
100000,10 Year Term,20,Female,Current user,$14.53
100000,10 Year Term,20,Female,Current user,$17.25
100000,10 Year Term,20,Female,Current user,$20.94
100000,10 Year Term,20,Female,Current user,$22.25
100000,10 Year Term,20,Female,Never Used,$7.77
100000,10 Year Term,20,Female,Never Used,$9.18
100000,10 Year Term,20,Female,Never Used,$11.47
100000,10 Year Term,20,Female,Never Used,$11.63
100000,10 Year Term,20,Female,Never Used,$15.04
100000,10 Year Term,30,Male,Current user,$20.74
100000,10 Year Term,30,Male,Current user,$26.18
100000,10 Year Term,30,Male,Current user,$28.53
100000,10 Year Term,30,Male,Current user,$29.90
100000,10 Year Term,30,Male,Current user,$31.85
100000,10 Year Term,30,Male,Never Used,$9.21
100000,10 Year Term,30,Male,Never Used,$9.39
100000,10 Year Term,30,Male,Never Used,$14.79
100000,10 Year Term,30,Male,Never Used,$19.05
100000,10 Year Term,30,Male,Never Used,$21.96
100000,10 Year Term,30,Female,Current user,$17.00
100000,10 Year Term,30,Female,Current user,$23.73
100000,10 Year Term,30,Female,Current user,$25.37
100000,10 Year Term,30,Female,Current user,$26.26
100000,10 Year Term,30,Female,Current user,$27.65
100000,10 Year Term,30,Female,Never Used,$7.80
100000,10 Year Term,30,Female,Never Used,$9.03
100000,10 Year Term,30,Female,Never Used,$12.96
100000,10 Year Term,30,Female,Never Used,$16.20
100000,10 Year Term,30,Female,Never Used,$18.11
100000,10 Year Term,40,Male,Current user,$27.28
100000,10 Year Term,40,Male,Current user,$37.74
100000,10 Year Term,40,Male,Current user,$53.82
100000,10 Year Term,40,Male,Current user,$54.59
100000,10 Year Term,40,Male,Current user,$57.23
100000,10 Year Term,40,Male,Never Used,$10.54
100000,10 Year Term,40,Male,Never Used,$11.78
100000,10 Year Term,40,Male,Never Used,$20.74
100000,10 Year Term,40,Male,Never Used,$28.48
100000,10 Year Term,40,Male,Never Used,$29.74
100000,10 Year Term,40,Female,Current user,$23.42
100000,10 Year Term,40,Female,Current user,$34.16
100000,10 Year Term,40,Female,Current user,$48.74
100000,10 Year Term,40,Female,Current user,$48.77
100000,10 Year Term,40,Female,Current user,$50.48
100000,10 Year Term,40,Female,Never Used,$9.60
100000,10 Year Term,40,Female,Never Used,$10.92
100000,10 Year Term,40,Female,Never Used,$17.24
100000,10 Year Term,40,Female,Never Used,$22.25
100000,10 Year Term,40,Female,Never Used,$25.54
100000,10 Year Term,45,Male,Current user,$40.63
100000,10 Year Term,45,Male,Current user,$53.90
100000,10 Year Term,45,Male,Current user,$77.79
100000,10 Year Term,45,Male,Current user,$81.97
100000,10 Year Term,45,Male,Current user,$84.52
100000,10 Year Term,45,Male,Never Used,$13.43
100000,10 Year Term,45,Male,Never Used,$14.82
100000,10 Year Term,45,Male,Never Used,$27.39
100000,10 Year Term,45,Male,Never Used,$39.11
100000,10 Year Term,45,Male,Never Used,$39.43
100000,10 Year Term,45,Female,Current user,$32.94
100000,10 Year Term,45,Female,Current user,$46.10
100000,10 Year Term,45,Female,Current user,$70.26
100000,10 Year Term,45,Female,Current user,$72.72
100000,10 Year Term,45,Female,Current user,$75.38
100000,10 Year Term,45,Female,Never Used,$12.04
100000,10 Year Term,45,Female,Never Used,$13.24
100000,10 Year Term,45,Female,Never Used,$23.11
100000,10 Year Term,45,Female,Never Used,$31.86
100000,10 Year Term,45,Female,Never Used,$34.12
100000,10 Year Term,50,Male,Current user,$51.68
100000,10 Year Term,50,Male,Current user,$79.45
100000,10 Year Term,50,Male,Current user,$115.94
100000,10 Year Term,50,Male,Current user,$119.44
100000,10 Year Term,50,Male,Current user,$129.85
100000,10 Year Term,50,Male,Never Used,$17.59
100000,10 Year Term,50,Male,Never Used,$19.45
100000,10 Year Term,50,Male,Never Used,$37.72
100000,10 Year Term,50,Male,Never Used,$55.21
100000,10 Year Term,50,Male,Never Used,$58.30
100000,10 Year Term,50,Female,Current user,$45.81
100000,10 Year Term,50,Female,Current user,$65.69
100000,10 Year Term,50,Female,Current user,$100.80
100000,10 Year Term,50,Female,Current user,$101.16
100000,10 Year Term,50,Female,Current user,$103.95
100000,10 Year Term,50,Female,Never Used,$15.35
100000,10 Year Term,50,Female,Never Used,$17.20
100000,10 Year Term,50,Female,Never Used,$28.27
100000,10 Year Term,50,Female,Never Used,$43.34
100000,10 Year Term,50,Female,Never Used,$45.58
100000,10 Year Term,60,Male,Current user,$126.82
100000,10 Year Term,60,Male,Current user,$186.29
100000,10 Year Term,60,Male,Current user,$235.49
100000,10 Year Term,60,Male,Current user,$264.60
100000,10 Year Term,60,Male,Current user,$289.88
100000,10 Year Term,60,Male,Never Used,$43.69
100000,10 Year Term,60,Male,Never Used,$46.31
100000,10 Year Term,60,Male,Never Used,$91.79
100000,10 Year Term,60,Male,Never Used,$122.76
100000,10 Year Term,60,Male,Never Used,$124.96
100000,10 Year Term,60,Female,Current user,$88.99
100000,10 Year Term,60,Female,Current user,$137.80
100000,10 Year Term,60,Female,Current user,$209.95
100000,10 Year Term,60,Female,Current user,$222.08
100000,10 Year Term,60,Female,Current user,$227.32
100000,10 Year Term,60,Female,Never Used,$32.30
100000,10 Year Term,60,Female,Never Used,$36.10
100000,10 Year Term,60,Female,Never Used,$64.76
100000,10 Year Term,60,Female,Never Used,$88.20
100000,10 Year Term,60,Female,Never Used,$90.30
100000,10 Year Term,65,Male,Current user,$285.95
100000,10 Year Term,65,Male,Current user,$382.82
100000,10 Year Term,65,Male,Current user,$438.06
100000,10 Year Term,65,Male,Current user,$446.95
100000,10 Year Term,65,Male,Never Used,$78.51
100000,10 Year Term,65,Male,Never Used,$150.42
100000,10 Year Term,65,Male,Never Used,$180.95
100000,10 Year Term,65,Male,Never Used,$205.50
100000,10 Year Term,65,Female,Current user,$247.86
100000,10 Year Term,65,Female,Current user,$313.33
100000,10 Year Term,65,Female,Current user,$332.94
100000,10 Year Term,65,Female,Current user,$359.38
100000,10 Year Term,65,Female,Never Used,$60.09
100000,10 Year Term,65,Female,Never Used,$102.99
100000,10 Year Term,65,Female,Never Used,$139.21
100000,10 Year Term,65,Female,Never Used,$144.54
100000,10 Year Term,70,Male,Current user,$508.64
100000,10 Year Term,70,Male,Current user,$700.43
100000,10 Year Term,70,Male,Current user,$733.09
100000,10 Year Term,70,Male,Never Used,$235.12
100000,10 Year Term,70,Male,Never Used,$299.16
100000,10 Year Term,70,Male,Never Used,$349.59
100000,10 Year Term,70,Female,Current user,$467.17
100000,10 Year Term,70,Female,Current user,$482.65
100000,10 Year Term,70,Female,Current user,$585.62
100000,10 Year Term,70,Female,Never Used,$172.99
100000,10 Year Term,70,Female,Never Used,$242.55
100000,10 Year Term,70,Female,Never Used,$290.59
100000,15 Year Term,20,Male,Current user,$22.27
100000,15 Year Term,20,Male,Current user,$26.22
100000,15 Year Term,20,Male,Current user,$28.35
100000,15 Year Term,20,Male,Current user,$30.11
100000,15 Year Term,20,Male,Current user,$30.53
100000,15 Year Term,20,Male,Never Used,$10.19
100000,15 Year Term,20,Male,Never Used,$10.20
100000,15 Year Term,20,Male,Never Used,$16.54
100000,15 Year Term,20,Male,Never Used,$18.69
100000,15 Year Term,20,Male,Never Used,$20.29
100000,15 Year Term,20,Female,Current user,$17.76
100000,15 Year Term,20,Female,Current user,$19.95
100000,15 Year Term,20,Female,Current user,$21.36
100000,15 Year Term,20,Female,Current user,$21.52
100000,15 Year Term,20,Female,Current user,$29.19
100000,15 Year Term,20,Female,Never Used,$8.59
100000,15 Year Term,20,Female,Never Used,$9.26
100000,15 Year Term,20,Female,Never Used,$12.69
100000,15 Year Term,20,Female,Never Used,$17.23
100000,15 Year Term,20,Female,Never Used,$17.89
100000,15 Year Term,30,Male,Current user,$21.67
100000,15 Year Term,30,Male,Current user,$26.89
100000,15 Year Term,30,Male,Current user,$32.11
100000,15 Year Term,30,Male,Current user,$32.47
100000,15 Year Term,30,Male,Current user,$32.84
100000,15 Year Term,30,Male,Never Used,$9.86
100000,15 Year Term,30,Male,Never Used,$10.19
100000,15 Year Term,30,Male,Never Used,$17.51
100000,15 Year Term,30,Male,Never Used,$20.74
100000,15 Year Term,30,Male,Never Used,$22.31
100000,15 Year Term,30,Female,Current user,$18.44
100000,15 Year Term,30,Female,Current user,$24.37
100000,15 Year Term,30,Female,Current user,$28.35
100000,15 Year Term,30,Female,Current user,$29.75
100000,15 Year Term,30,Female,Current user,$30.08
100000,15 Year Term,30,Female,Never Used,$8.59
100000,15 Year Term,30,Female,Never Used,$9.03
100000,15 Year Term,30,Female,Never Used,$13.83
100000,15 Year Term,30,Female,Never Used,$19.94
100000,15 Year Term,30,Female,Never Used,$21.08
100000,15 Year Term,40,Male,Current user,$32.12
100000,15 Year Term,40,Male,Current user,$48.30
100000,15 Year Term,40,Male,Current user,$55.12
100000,15 Year Term,40,Male,Current user,$62.31
100000,15 Year Term,40,Male,Current user,$63.19
100000,15 Year Term,40,Male,Never Used,$10.67
100000,15 Year Term,40,Male,Never Used,$12.10
100000,15 Year Term,40,Male,Never Used,$28.01
100000,15 Year Term,40,Male,Never Used,$29.83
100000,15 Year Term,40,Male,Never Used,$31.15
100000,15 Year Term,40,Female,Current user,$25.84
100000,15 Year Term,40,Female,Current user,$40.87
100000,15 Year Term,40,Female,Current user,$51.71
100000,15 Year Term,40,Female,Current user,$56.27
100000,15 Year Term,40,Female,Current user,$59.72
100000,15 Year Term,40,Female,Never Used,$10.42
100000,15 Year Term,40,Female,Never Used,$11.22
100000,15 Year Term,40,Female,Never Used,$19.52
100000,15 Year Term,40,Female,Never Used,$29.22
100000,15 Year Term,40,Female,Never Used,$29.64
100000,15 Year Term,45,Male,Current user,$45.84
100000,15 Year Term,45,Male,Current user,$67.75
100000,15 Year Term,45,Male,Current user,$85.31
100000,15 Year Term,45,Male,Current user,$90.48
100000,15 Year Term,45,Male,Current user,$90.60
100000,15 Year Term,45,Male,Never Used,$15.27
100000,15 Year Term,45,Male,Never Used,$16.09
100000,15 Year Term,45,Male,Never Used,$35.01
100000,15 Year Term,45,Male,Never Used,$39.19
100000,15 Year Term,45,Male,Never Used,$45.03
100000,15 Year Term,45,Female,Current user,$36.38
100000,15 Year Term,45,Female,Current user,$56.25
100000,15 Year Term,45,Female,Current user,$72.18
100000,15 Year Term,45,Female,Current user,$84.44
100000,15 Year Term,45,Female,Current user,$87.58
100000,15 Year Term,45,Female,Never Used,$13.68
100000,15 Year Term,45,Female,Never Used,$14.95
100000,15 Year Term,45,Female,Never Used,$29.49
100000,15 Year Term,45,Female,Never Used,$36.92
100000,15 Year Term,45,Female,Never Used,$42.81
100000,15 Year Term,50,Male,Current user,$66.13
100000,15 Year Term,50,Male,Current user,$98.58
100000,15 Year Term,50,Male,Current user,$127.14
100000,15 Year Term,50,Male,Current user,$131.07
100000,15 Year Term,50,Male,Current user,$132.25
100000,15 Year Term,50,Male,Never Used,$21.59
100000,15 Year Term,50,Male,Never Used,$23.40
100000,15 Year Term,50,Male,Never Used,$46.99
100000,15 Year Term,50,Male,Never Used,$55.56
100000,15 Year Term,50,Male,Never Used,$68.80
100000,15 Year Term,50,Female,Current user,$50.83
100000,15 Year Term,50,Female,Current user,$77.37
100000,15 Year Term,50,Female,Current user,$103.60
100000,15 Year Term,50,Female,Current user,$117.95
100000,15 Year Term,50,Female,Current user,$127.80
100000,15 Year Term,50,Female,Never Used,$17.84
100000,15 Year Term,50,Female,Never Used,$18.89
100000,15 Year Term,50,Female,Never Used,$39.03
100000,15 Year Term,50,Female,Never Used,$50.48
100000,15 Year Term,50,Female,Never Used,$65.06
100000,15 Year Term,60,Male,Current user,$159.37
100000,15 Year Term,60,Male,Current user,$237.73
100000,15 Year Term,60,Male,Current user,$261.22
100000,15 Year Term,60,Male,Current user,$299.59
100000,15 Year Term,60,Male,Current user,$310.28
100000,15 Year Term,60,Male,Never Used,$52.61
100000,15 Year Term,60,Male,Never Used,$57.96
100000,15 Year Term,60,Male,Never Used,$118.04
100000,15 Year Term,60,Male,Never Used,$138.40
100000,15 Year Term,60,Male,Never Used,$148.39
100000,15 Year Term,60,Female,Current user,$116.70
100000,15 Year Term,60,Female,Current user,$180.52
100000,15 Year Term,60,Female,Current user,$229.60
100000,15 Year Term,60,Female,Current user,$244.48
100000,15 Year Term,60,Female,Current user,$260.14
100000,15 Year Term,60,Female,Never Used,$40.03
100000,15 Year Term,60,Female,Never Used,$41.99
100000,15 Year Term,60,Female,Never Used,$93.98
100000,15 Year Term,60,Female,Never Used,$120.40
100000,15 Year Term,60,Female,Never Used,$128.43
100000,15 Year Term,65,Male,Current user,$370.06
100000,15 Year Term,65,Male,Current user,$431.99
100000,15 Year Term,65,Male,Current user,$447.82
100000,15 Year Term,65,Male,Current user,$486.56
100000,15 Year Term,65,Male,Never Used,$103.24
100000,15 Year Term,65,Male,Never Used,$213.77
100000,15 Year Term,65,Male,Never Used,$226.71
100000,15 Year Term,65,Male,Never Used,$229.35
100000,15 Year Term,65,Female,Current user,$284.33
100000,15 Year Term,65,Female,Current user,$347.54
100000,15 Year Term,65,Female,Current user,$383.17
100000,15 Year Term,65,Female,Current user,$438.59
100000,15 Year Term,65,Female,Never Used,$78.58
100000,15 Year Term,65,Female,Never Used,$149.80
100000,15 Year Term,65,Female,Never Used,$202.56
100000,15 Year Term,65,Female,Never Used,$220.54
100000,15 Year Term,70,Male,Current user,$572.52
100000,15 Year Term,70,Male,Current user,$705.95
100000,15 Year Term,70,Male,Current user,$813.91
100000,15 Year Term,70,Male,Never Used,$300.92
100000,15 Year Term,70,Male,Never Used,$413.87
100000,15 Year Term,70,Male,Never Used,$497.07
100000,15 Year Term,70,Female,Current user,$521.24
100000,15 Year Term,70,Female,Current user,$561.66
100000,15 Year Term,70,Female,Current user,$733.09
100000,15 Year Term,70,Female,Never Used,$234.50
100000,15 Year Term,70,Female,Never Used,$346.76
100000,15 Year Term,70,Female,Never Used,$422.31
100000,20 Year Term,20,Male,Current user,$23.88
100000,20 Year Term,20,Male,Current user,$28.96
100000,20 Year Term,20,Male,Current user,$30.00
100000,20 Year Term,20,Male,Current user,$33.43
100000,20 Year Term,20,Male,Current user,$34.98
100000,20 Year Term,20,Male,Never Used,$10.38
100000,20 Year Term,20,Male,Never Used,$10.68
100000,20 Year Term,20,Male,Never Used,$18.78
100000,20 Year Term,20,Male,Never Used,$19.52
100000,20 Year Term,20,Male,Never Used,$20.38
100000,20 Year Term,20,Female,Current user,$20.91
100000,20 Year Term,20,Female,Current user,$21.90
100000,20 Year Term,20,Female,Current user,$22.34
100000,20 Year Term,20,Female,Current user,$24.51
100000,20 Year Term,20,Female,Current user,$30.62
100000,20 Year Term,20,Female,Never Used,$9.35
100000,20 Year Term,20,Female,Never Used,$9.77
100000,20 Year Term,20,Female,Never Used,$15.40
100000,20 Year Term,20,Female,Never Used,$17.32
100000,20 Year Term,20,Female,Never Used,$17.98
100000,20 Year Term,30,Male,Current user,$25.07
100000,20 Year Term,30,Male,Current user,$33.43
100000,20 Year Term,30,Male,Current user,$35.44
100000,20 Year Term,30,Male,Current user,$36.04
100000,20 Year Term,30,Male,Current user,$36.85
100000,20 Year Term,30,Male,Never Used,$10.67
100000,20 Year Term,30,Male,Never Used,$10.76
100000,20 Year Term,30,Male,Never Used,$20.74
100000,20 Year Term,30,Male,Never Used,$22.25
100000,20 Year Term,30,Male,Never Used,$22.31
100000,20 Year Term,30,Female,Current user,$20.55
100000,20 Year Term,30,Female,Current user,$24.81
100000,20 Year Term,30,Female,Current user,$31.67
100000,20 Year Term,30,Female,Current user,$32.38
100000,20 Year Term,30,Female,Current user,$34.98
100000,20 Year Term,30,Female,Never Used,$9.40
100000,20 Year Term,30,Female,Never Used,$9.51
100000,20 Year Term,30,Female,Never Used,$17.15
100000,20 Year Term,30,Female,Never Used,$21.08
100000,20 Year Term,30,Female,Never Used,$21.27
100000,20 Year Term,40,Male,Current user,$38.30
100000,20 Year Term,40,Male,Current user,$58.86
100000,20 Year Term,40,Male,Current user,$68.52
100000,20 Year Term,40,Male,Current user,$68.59
100000,20 Year Term,40,Male,Current user,$70.22
100000,20 Year Term,40,Male,Never Used,$13.22
100000,20 Year Term,40,Male,Never Used,$14.89
100000,20 Year Term,40,Male,Never Used,$30.54
100000,20 Year Term,40,Male,Never Used,$32.28
100000,20 Year Term,40,Male,Never Used,$38.00
100000,20 Year Term,40,Female,Current user,$32.89
100000,20 Year Term,40,Female,Current user,$46.64
100000,20 Year Term,40,Female,Current user,$60.11
100000,20 Year Term,40,Female,Current user,$61.78
100000,20 Year Term,40,Female,Current user,$66.22
100000,20 Year Term,40,Female,Never Used,$11.61
100000,20 Year Term,40,Female,Never Used,$12.75
100000,20 Year Term,40,Female,Never Used,$26.17
100000,20 Year Term,40,Female,Never Used,$31.15
100000,20 Year Term,40,Female,Never Used,$36.05
100000,20 Year Term,45,Male,Current user,$53.07
100000,20 Year Term,45,Male,Current user,$87.86
100000,20 Year Term,45,Male,Current user,$98.43
100000,20 Year Term,45,Male,Current user,$99.84
100000,20 Year Term,45,Male,Current user,$106.27
100000,20 Year Term,45,Male,Never Used,$18.44
100000,20 Year Term,45,Male,Never Used,$21.30
100000,20 Year Term,45,Male,Never Used,$40.69
100000,20 Year Term,45,Male,Never Used,$44.88
100000,20 Year Term,45,Male,Never Used,$54.29
100000,20 Year Term,45,Female,Current user,$43.94
100000,20 Year Term,45,Female,Current user,$69.05
100000,20 Year Term,45,Female,Current user,$85.57
100000,20 Year Term,45,Female,Current user,$93.11
100000,20 Year Term,45,Female,Current user,$99.68
100000,20 Year Term,45,Female,Never Used,$15.04
100000,20 Year Term,45,Female,Never Used,$16.33
100000,20 Year Term,45,Female,Never Used,$37.54
100000,20 Year Term,45,Female,Never Used,$41.38
100000,20 Year Term,45,Female,Never Used,$51.26
100000,20 Year Term,50,Male,Current user,$81.17
100000,20 Year Term,50,Male,Current user,$116.88
100000,20 Year Term,50,Male,Current user,$136.32
100000,20 Year Term,50,Male,Current user,$147.56
100000,20 Year Term,50,Male,Current user,$153.48
100000,20 Year Term,50,Male,Never Used,$26.94
100000,20 Year Term,50,Male,Never Used,$29.45
100000,20 Year Term,50,Male,Never Used,$57.75
100000,20 Year Term,50,Male,Never Used,$72.97
100000,20 Year Term,50,Male,Never Used,$79.30
100000,20 Year Term,50,Female,Current user,$61.19
100000,20 Year Term,50,Female,Current user,$94.03
100000,20 Year Term,50,Female,Current user,$109.90
100000,20 Year Term,50,Female,Current user,$126.70
100000,20 Year Term,50,Female,Current user,$138.93
100000,20 Year Term,50,Female,Never Used,$20.24
100000,20 Year Term,50,Female,Never Used,$21.69
100000,20 Year Term,50,Female,Never Used,$53.47
100000,20 Year Term,50,Female,Never Used,$59.67
100000,20 Year Term,50,Female,Never Used,$74.94
100000,20 Year Term,60,Male,Current user,$201.70
100000,20 Year Term,60,Male,Current user,$312.29
100000,20 Year Term,60,Male,Current user,$318.23
100000,20 Year Term,60,Male,Current user,$344.05
100000,20 Year Term,60,Male,Current user,$375.40
100000,20 Year Term,60,Male,Never Used,$69.53
100000,20 Year Term,60,Male,Never Used,$78.94
100000,20 Year Term,60,Male,Never Used,$155.40
100000,20 Year Term,60,Male,Never Used,$170.88
100000,20 Year Term,60,Male,Never Used,$211.55
100000,20 Year Term,60,Female,Current user,$143.31
100000,20 Year Term,60,Female,Current user,$230.06
100000,20 Year Term,60,Female,Current user,$272.47
100000,20 Year Term,60,Female,Current user,$288.40
100000,20 Year Term,60,Female,Current user,$352.80
100000,20 Year Term,60,Female,Never Used,$52.95
100000,20 Year Term,60,Female,Never Used,$53.16
100000,20 Year Term,60,Female,Never Used,$133.62
100000,20 Year Term,60,Female,Never Used,$150.58
100000,20 Year Term,60,Female,Never Used,$199.00
100000,20 Year Term,65,Male,Never Used,$242.37
100000,20 Year Term,65,Male,Never Used,$255.77
100000,20 Year Term,65,Female,Never Used,$204.05
100000,20 Year Term,65,Female,Never Used,$212.89
100000,25 Year Term,20,Male,Current user,$35.17
100000,25 Year Term,20,Male,Current user,$41.22
100000,25 Year Term,20,Male,Never Used,$21.88
100000,25 Year Term,20,Male,Never Used,$23.18
100000,25 Year Term,20,Female,Current user,$24.06
100000,25 Year Term,20,Female,Current user,$29.58
100000,25 Year Term,20,Female,Never Used,$17.15
100000,25 Year Term,20,Female,Never Used,$17.67
100000,25 Year Term,30,Male,Current user,$43.13
100000,25 Year Term,30,Male,Current user,$46.03
100000,25 Year Term,30,Male,Never Used,$23.89
100000,25 Year Term,30,Male,Never Used,$25.72
100000,25 Year Term,30,Female,Current user,$36.31
100000,25 Year Term,30,Female,Current user,$37.02
100000,25 Year Term,30,Female,Never Used,$19.43
100000,25 Year Term,30,Female,Never Used,$22.22
